,File,Specie ID,Fdom,FminVoc,FmaxVoc,FCC1,FCC2,FCC3,FCC4,FCC5,FCC6,FCC7,FCC8,FCC9,FCC10,FCC11,FCC12,FCC13,FCC14,FCC15,FCC16,FCC17,FCC18,FCC19,FCC20,FCC21,FCC22,FCC23,SpectralCentroid,Bandwidth,SpectralFlatness,Length,DeltaFreq
31,JAGUAS253_20121114_080107.wav,Hyloxalus,4586.131097560976,4134.375,4758.837890625,-1.0239,0.37668,0.35367,-28.639,0.23082,0.16773,0.085722,-28.157,0.28073,-0.42058,0.77653,-27.613,1.1182,-0.21369,0.012519,0.18934,0.71403,-0.19679,-0.11372,0.50064,-0.20866,0.20792,-0.24803,4536.999560864217,117.3580936128847,0.2714539766311646,0.3018594104308399,624.462890625
32,JAGUAS253_20121114_080107.wav,Leptopogon superciliaris,3165.21279535061,2993.115234375,5232.568359375,1.1818,0.38764,0.55146,-19.98,1.5902,-0.093743,0.25716,-20.454,1.1077,-0.26152,-0.067921,-20.035,0.93581,0.40547,0.51419,-0.21951,-0.081992,0.0059426,-0.012422,0.51143,-0.29016,0.57419,0.43821,4438.782179791274,498.6649388864915,0.4103755354881287,0.487619047619047,2239.453125
33,JAGUAS253_20121114_080107.wav,Hyloxalus,4586.257145579269,4263.57421875,4801.904296875,-1.2878,-0.38877,0.10115,-30.401,-1.5007,0.44104,-0.039067,-30.474,-0.41934,0.67712,0.47103,-31.264,0.072583,0.91091,-0.44688,-0.1462,0.45348,0.43323,-0.18268,-0.60733,0.35237,-0.29802,-0.38884,4601.657820470336,86.87165622539118,0.2984591722488403,0.2554195011337868,538.330078125
34,JAGUAS253_20121114_080107.wav,Hyloxalus,4370.988138338415,4112.841796875,4823.4375,0.96159,-0.22187,-0.84643,-25.131,-0.20705,0.10036,-0.18782,-26.862,-0.68472,0.2059,0.55415,-27.058,0.80191,-0.023851,0.19177,-0.46213,-0.053227,0.066006,0.34607,-0.36778,1.3276,-0.27599,-0.5105,4524.285211751457,161.5381538419958,0.2929583489894867,0.3599092970521536,710.595703125
35,JAGUAS253_20121114_080107.wav,Hyloxalus,4370.988138338415,4112.841796875,4823.4375,0.50017,-0.66391,-0.41088,-28.85,0.10048,-0.38268,-0.034161,-29.279,0.73556,-0.61935,-0.61233,-28.855,-0.051218,-0.12793,0.51935,0.31624,-0.1838,0.17866,0.31008,-0.26469,-0.19355,0.1051,0.37748,4608.850916427874,110.8383762785831,0.2419058233499527,0.2554195011337868,710.595703125
36,JAGUAS253_20121114_080107.wav,Hyloxalus,4349.622999237805,4263.57421875,4909.5703125,0.76958,-0.44198,-0.11428,-26.635,0.23529,0.38737,1.1817,-27.5,0.17951,0.22166,0.48391,-26.8,0.80545,0.18539,-0.22842,-0.15017,0.011955,0.20912,-0.038047,0.49291,0.58012,-0.43281,-1.0042,4628.643657232924,99.84046341033142,0.2620352208614349,0.2670294784580509,645.99609375
37,JAGUAS253_20121114_080107.wav,Hyloxalus,4371.07217035061,4198.974609375,4844.970703125,0.14042,-0.52936,-0.23064,-28.367,0.084724,-0.39582,0.091066,-28.187,0.65911,-0.48563,0.057169,-28.445,-0.60409,0.77135,0.28027,-0.10072,-0.24817,0.43357,0.1703,-0.017592,-0.60375,0.56173,-0.049301,4606.35160431696,104.9997858845525,0.2289713472127914,0.2786394557823115,645.99609375
40,JAGUAS253_20121114_080107.wav,Hyloxalus,4306.47256097561,4134.375,4823.4375,0.25966,0.8727,0.050809,-26.03,0.20369,-0.20218,-0.095508,-26.122,0.30053,-0.30464,-0.063022,-27.963,0.68598,-0.92989,0.1004,-0.0057278,0.14211,-0.60086,0.016529,-1.8785,0.22071,0.22482,0.15487,4561.944989770776,141.6016445805773,0.2705444395542145,0.3366893424036306,689.0625
44,JAGUAS253_20121114_080107.wav,Hyloxalus,4414.033536585366,4134.375,4844.970703125,-0.18857,0.063926,-0.43514,-27.702,-0.04258,-0.37138,-0.33337,-28.408,0.71727,-0.075531,0.14166,-28.572,0.25949,0.42553,-0.19818,0.38288,0.14935,0.12053,0.078986,-1.0908,-0.30189,0.46818,-0.2208,4611.601237630883,103.5821984091167,0.2253943234682083,0.2554195011337868,710.595703125
45,JAGUAS253_20121114_080107.wav,Hyloxalus,4198.890577362805,4112.841796875,4823.4375,1.139,-0.5109,0.63266,-28.515,0.57785,-0.093312,-1.0126,-27.699,1.043,0.43171,0.56395,-28.22,1.1317,-0.28571,0.39073,-0.12842,-0.002444,0.075065,-0.080641,0.07913,0.3249,-0.5675,0.73604,4605.174934092798,114.2930097255301,0.2520084977149963,0.2786394557823115,710.595703125
46,JAGUAS253_20121114_080107.wav,Hyloxalus,4306.493568978659,4155.908203125,4780.37109375,0.74359,-0.069551,-0.25148,-27.972,-0.20554,-0.51138,0.13821,-29.159,1.1371,-0.61785,-0.068698,-28.51,0.98983,0.28879,-0.42692,-0.66968,0.082083,0.11945,-0.05848,1.0607,0.40092,0.67424,-0.37395,4578.769752087363,121.1342635839022,0.3615876138210297,0.2670294784580491,624.462890625
47,JAGUAS253_20121114_080107.wav,Hyloxalus,4155.824171112805,4069.775390625,4823.4375,1.8344,-0.67367,0.040871,-27.984,0.43248,0.75128,0.67602,-25.743,0.44968,-0.10067,-0.079939,-26.339,1.1296,0.43839,-0.29184,0.11391,-0.23492,0.37068,-0.1109,0.35397,1.0409,-0.44294,-0.42352,4552.149131461109,140.2997457335665,0.3528262376785278,0.3599092970521518,753.662109375
49,JAGUAS253_20121114_080107.wav,Hyloxalus,4435.650771722561,4242.041015625,4801.904296875,-0.10375,-0.77511,-0.48858,-32.506,-0.49468,-0.34135,0.71782,-29.46,-0.17441,-0.55038,-0.47711,-31.034,-0.35842,-0.22322,0.49748,-0.81051,-0.084891,0.18396,0.32869,1.1651,0.10346,-0.053299,-0.11591,4608.34645727612,94.73158074913609,0.2835486829280853,0.2554195011337868,559.86328125
50,JAGUAS253_20121114_080107.wav,Hyloxalus,4177.399390243902,4134.375,4866.50390625,-0.63602,0.40644,0.6419,-24.97,0.66369,-0.47986,-0.094236,-26.242,-0.43718,-0.35245,0.13744,-26.304,0.55036,0.59228,-0.18705,0.15658,0.39546,0.061946,-0.27632,-0.93247,-0.15608,0.91551,0.20582,4550.686614649625,160.9262404067242,0.3418993353843689,0.3715192743764142,732.12890625
52,JAGUAS253_20121114_080107.wav,Hyloxalus,4198.890577362805,4112.841796875,4823.4375,0.94616,-0.51912,0.028851,-28.248,0.40893,-0.76217,0.1855,-29.298,0.63501,0.63372,0.2722,-28.132,0.054471,0.24235,-0.014148,0.19627,-0.29723,0.25382,-0.014333,0.34606,-0.021656,-0.074159,-0.2215,4577.012397586893,114.4305529140836,0.267776221036911,0.2786394557823115,710.595703125
53,JAGUAS253_20121114_080107.wav,Hyloxalus,4220.423780487805,4134.375,4844.970703125,-0.38071,0.15567,-0.31002,-25.878,0.31216,-0.044669,-0.42369,-26.863,0.88945,0.088092,0.74388,-26.112,-0.088862,0.16332,0.032598,0.36623,0.097283,0.0025503,0.11421,-0.29055,-0.83559,0.13778,-0.29881,4588.761241992165,135.3516847829333,0.3027820587158203,0.3250793650793646,710.595703125
56,JAGUAS253_20121114_080107.wav,Hyloxalus,4306.514576981707,4177.44140625,4758.837890625,0.40295,-0.30414,0.41514,-28.817,0.29371,-0.35835,-0.079632,-28.561,1.3395,0.011163,-0.36714,-29.06,1.6559,0.8388,-0.32661,-0.26175,0.41765,0.38098,-0.24725,0.020992,0.21283,0.44093,0.26765,4601.065279265456,98.517118012614,0.2617036700248718,0.2670294784580491,581.396484375
58,JAGUAS253_20121114_080107.wav,Hyloxalus,4241.914967606707,4112.841796875,4995.703125,0.26395,-0.5549,-0.5411,-26.778,0.57596,-0.17725,-0.071448,-26.31,1.3383,0.057324,0.41178,-26.592,1.2956,0.15168,-0.26597,0.12982,0.34387,0.23553,0.091713,-0.24264,-0.1774,-0.14165,-0.5737,4590.017260195857,124.5860415733326,0.2450205087661743,0.2554195011337868,882.861328125
62,JAGUAS253_20121114_080107.wav,Hyloxalus,4371.093178353659,4220.5078125,4758.837890625,-1.0254,-0.42548,0.46856,-29.462,0.5664,0.229,-0.7781,-30.595,0.53104,0.17617,-0.090058,-30.478,0.056482,-0.82727,-0.268,0.15325,0.36064,-0.13393,-0.24552,-0.67949,-1.0332,-0.82896,0.53436,4590.834348738705,95.5487140960535,0.3084115087985992,0.2554195011337868,538.330078125
64,JAGUAS253_20121114_080107.wav,Hyloxalus,4155.719131097561,3962.109375,4780.37109375,0.87279,-0.4516,0.22794,-28.555,-0.45512,-0.21468,-0.10228,-29.345,-0.8059,-0.39377,-0.47169,-27.69,0.36902,-0.12175,0.013368,0.14395,-0.16792,0.10995,-0.071525,1.0445,1.2514,0.017554,0.40764,4509.588006119986,192.2364825661289,0.2630535960197449,0.2786394557823115,818.26171875
65,JAGUAS253_20121114_080107.wav,Hyloxalus,4220.276724466464,3983.642578125,4801.904296875,0.3304,-0.38108,0.24091,-26.224,0.74912,-0.47277,0.16657,-27.01,0.48517,-0.22282,-0.32689,-27.745,0.30038,-0.29392,-0.75042,-0.21204,-0.010006,0.029053,-0.33044,-0.81018,-0.30175,0.010294,-0.1746,4439.083110891798,199.6966648097472,0.43234983086586,0.3599092970521518,818.26171875
66,JAGUAS253_20121114_080107.wav,Hyloxalus,4693.797113185976,4242.041015625,4888.037109375,-0.040458,0.88273,-0.037384,-27.998,-0.38835,0.12218,0.79855,-28.249,0.20542,-0.33536,0.41569,-29.1,-0.25809,-0.32247,0.21144,0.39561,-0.072545,-0.40173,0.082943,-1.5697,-0.057809,0.38672,-0.52009,4590.982706130821,97.9791956722268,0.2850871384143829,0.2554195011337868,645.99609375
69,JAGUAS253_20121114_080107.wav,Hyloxalus,4285.065405868902,4242.041015625,4758.837890625,-0.39443,0.53406,-0.1874,-29.954,0.28176,0.76611,-0.47468,-29.223,0.39176,0.12861,-0.81719,-30.66,0.45172,-0.0057262,-0.0031438,-0.44867,0.28205,-0.17993,0.061419,-0.39819,-0.30812,-0.18319,0.55066,4565.754336712623,84.4671841607731,0.3371286392211914,0.2438095238095244,516.796875
70,JAGUAS253_20121114_080107.wav,Hyloxalus,4284.93935785061,4112.841796875,4780.37109375,1.4943,0.21537,-0.61135,-30.412,1.1327,-0.25042,0.56152,-29.105,1.6219,-0.32476,-0.62542,-27.188,0.85411,-0.0033163,-0.31908,1.1118,-0.21341,-0.072896,0.097426,0.90283,-0.20306,0.39362,-0.43326,4583.638313239519,102.9459436543165,0.2582423388957977,0.2554195011337868,667.529296875
71,JAGUAS253_20121114_080107.wav,Hyloxalus,4543.190739329269,4220.5078125,4737.3046875,0.11545,0.026123,-0.021664,-29.78,0.40686,0.14246,-0.21782,-31.206,-0.87194,-0.28745,0.14358,-30.073,-0.65744,-0.19148,0.14884,0.23641,-0.25763,-0.072535,0.056836,0.065301,-0.03846,-0.010185,0.10071,4573.792374550995,91.97036505274379,0.3662774860858917,0.2438095238095244,516.796875
72,JAGUAS253_20121114_080107.wav,Hyloxalus,4371.093178353659,4220.5078125,4758.837890625,0.98627,-0.50419,0.4691,-28.066,0.71925,-0.72368,0.26934,-29.972,-0.407,-0.73577,0.05855,-29.976,0.87757,-1.3925,0.33188,0.051402,-0.036235,-0.29611,-0.045742,-1.0346,0.7758,-0.21863,0.23654,4581.967256935,92.96593462653043,0.3465336263179779,0.2554195011337868,538.330078125
76,JAGUAS253_20121114_080107.wav,Hyloxalus,4392.542349466464,4155.908203125,4737.3046875,0.76345,-0.25024,0.40963,-29.302,0.45404,-1.0509,-0.42584,-30.042,0.44902,-0.25081,-0.19866,-29.063,-0.32895,-0.073559,0.59393,-0.19046,-0.36413,0.058894,0.061431,0.89441,-0.23428,0.48896,0.81403,4562.253951185266,86.82627879769468,0.2540142238140106,0.2438095238095244,581.396484375
77,JAGUAS253_20121114_080107.wav,Hyloxalus,4564.576886432927,4091.30859375,4737.3046875,0.52961,0.63468,-0.22714,-28.868,1.1909,-0.50829,0.27528,-28.942,-0.16148,0.81013,0.86361,-29.847,-0.17713,-0.033112,-0.19806,-0.8544,-0.23558,-0.2226,0.0096904,0.33983,-0.33846,0.14986,-0.78205,4489.76252726082,118.0256396209245,0.3672841787338257,0.3018594104308399,645.99609375
78,JAGUAS253_20121114_080107.wav,Hyloxalus,4112.799780868902,4069.775390625,4844.970703125,0.93379,-0.21061,0.092387,-26.797,0.87285,-0.35398,0.55698,-27.495,0.42434,-0.48782,0.27083,-27.049,0.55847,0.1912,-0.047601,-0.10662,-0.12511,0.13393,-0.046663,0.25693,0.097537,0.4112,-0.39151,4548.097785176549,112.3133315198748,0.2683643102645874,0.3134693877550987,775.1953125
79,JAGUAS253_20121114_080107.wav,Hyloxalus,4392.43730945122,4048.2421875,4801.904296875,0.64396,-0.03384,0.65654,-28.366,-0.19525,-0.41061,0.025379,-26.245,0.13954,-0.25275,0.12225,-28.527,-0.36857,-0.4797,1.1011,-0.31229,-0.33751,-0.14862,0.14818,-0.75267,0.16555,0.074914,0.80499,4556.491618097909,107.0060944351827,0.2652334570884705,0.348299319727893,753.662109375
81,JAGUAS253_20121114_080107.wav,Hyloxalus,4586.110089557927,4112.841796875,4866.50390625,-0.31289,0.28365,0.35512,-25.015,-0.63317,-0.35908,0.16055,-24.195,-0.23455,-0.86206,0.27847,-26.199,0.34608,0.66851,-0.11854,0.060103,0.21966,0.12829,-0.15789,-1.6845,0.45045,1.0867,-0.10122,4563.073931183781,113.195021712275,0.2661702334880829,0.4643990929705204,753.662109375
82,JAGUAS253_20121114_080107.wav,Hyloxalus,4263.448170731707,4134.375,4844.970703125,0.22825,0.39474,0.24683,-26.769,1.3353,0.19731,-0.51429,-25.805,0.75314,-0.07852,-0.60671,-26.531,0.35688,0.58309,-0.2425,-0.26179,0.042878,0.062781,-0.16311,0.14822,-0.75167,0.42952,0.56266,4568.152857704808,97.39032851713468,0.2279416918754578,0.4295691609977368,710.595703125
87,JAGUAS253_20121114_080107.wav,Hyloxalus,4629.155487804878,4134.375,4866.50390625,-0.15331,0.48296,0.35598,-28.054,1.1395,1.1824,-0.15128,-26.618,0.36863,-0.13798,0.26519,-27.006,0.16835,0.028714,0.31865,0.54349,0.10722,-0.15141,-0.012442,-0.48571,-0.74657,-0.26637,0.28036,4560.46111694423,114.1509603876435,0.3464130163192749,0.3250793650793682,732.12890625
88,JAGUAS253_20121114_080107.wav,Hyloxalus,4456.973894817073,4048.2421875,4888.037109375,0.7871,0.62347,0.13499,-27.381,0.30189,-0.17409,0.029119,-27.091,0.29585,0.41521,0.43837,-26.914,-0.51833,-0.05679,0.48755,0.080211,-0.43514,-0.22675,0.11752,0.20228,-0.16449,0.16277,0.077522,4573.747915345913,126.318900765068,0.2848648130893707,0.3599092970521554,839.794921875
89,JAGUAS253_20121114_080107.wav,Hyloxalus,4543.085699314024,4112.841796875,4823.4375,-0.54287,-0.80661,0.287,-29.289,-0.22078,0.076569,0.38289,-28.598,-0.59758,-0.079943,0.38751,-28.904,0.62724,-0.46673,-0.52652,0.68183,0.39004,0.11329,-0.27117,-0.98312,0.45137,-0.63498,-0.50496,4546.301315657105,123.2066082201299,0.3439965844154358,0.2786394557823186,710.595703125
90,JAGUAS253_20121114_080107.wav,Hyloxalus,4865.768626143293,4112.841796875,4866.50390625,-0.048378,0.24248,0.52333,-28.088,1.2058,-0.15091,-0.072443,-28.736,-0.12006,0.35717,0.36796,-27.631,0.2491,-0.43668,-0.51766,-0.0074379,0.09916,-0.22638,-0.347,0.79243,-0.44249,-0.20023,-0.14492,4545.91404444591,131.8683742919504,0.3653849959373474,0.3134693877550987,753.662109375
92,JAGUAS253_20121114_080107.wav,Hyloxalus,4564.618902439024,4134.375,4866.50390625,0.45737,-0.33415,0.44635,-28.543,0.24,0.42621,0.58947,-28.061,0.024549,0.42113,0.84756,-28.633,-0.14571,-0.38631,0.061901,-0.42035,-0.20103,-0.017387,-0.12815,0.29953,0.023552,-0.78389,-0.46439,4549.140067663554,133.9415546172523,0.3609646558761597,0.3250793650793611,732.12890625
93,JAGUAS253_20121114_080107.wav,Hyloxalus,4327.921732088415,4069.775390625,4844.970703125,0.51735,-0.50584,-0.31411,-28.159,0.48534,0.12344,0.45013,-26.918,0.33841,-0.20908,-0.62918,-28.142,0.74846,-0.98328,0.18245,-0.04521,0.077036,-0.15915,0.16552,-0.53611,0.22103,-0.70174,0.023695,4529.000442532881,133.1030773717308,0.3714932203292847,0.3250793650793611,775.1953125
95,JAGUAS253_20121114_080107.wav,Leptopogon superciliaris,3767.701314786585,3143.84765625,5641.69921875,1.1663,-0.21033,-0.04045,-19.69,1.1367,-0.030461,-0.14331,-19.734,1.5423,-0.27851,0.26429,-19.633,1.639,-0.24491,0.18371,-0.057371,0.15757,-0.011527,0.07472,0.16496,0.063209,-0.073131,0.011137,4654.820954456526,484.5973478931551,0.3863250315189362,0.4411791383219921,2497.8515625
96,JAGUAS253_20121114_080107.wav,Hyloxalus,4543.043683307927,4069.775390625,4888.037109375,-0.017421,-0.7699,-0.27298,-29.122,-0.35755,0.079098,0.15451,-28.259,-0.48232,0.34162,0.030948,-28.292,-0.12518,-0.22916,-0.067801,0.36996,-0.03592,0.18024,0.068394,-0.15617,0.34863,-0.70989,-0.26312,4542.072862311378,153.4487692854683,0.3241146206855774,0.3366893424036306,818.26171875
97,JAGUAS253_20121114_080107.wav,Hyloxalus,4263.448170731707,4134.375,4888.037109375,-0.62846,0.56201,-0.042033,-27.802,0.4206,-0.25713,0.0023845,-28.638,1.0789,0.22392,0.88008,-29.141,-0.32761,-0.061627,-0.41991,-0.27226,0.10028,-0.20788,-0.12596,-0.512,-1.2278,0.2668,-0.6722,4579.355709538962,138.2028195023787,0.3618713319301605,0.3018594104308363,753.662109375
98,JAGUAS253_20121114_080107.wav,Hyloxalus,4241.914967606707,4112.841796875,4909.5703125,0.30779,0.28855,0.17839,-28.255,0.82958,0.12091,-0.3537,-28.067,0.53637,0.22717,0.064771,-27.683,1.3944,0.056616,-0.39608,0.11967,0.36221,-0.077311,-0.19149,0.29872,0.16813,-0.0014612,0.03562,4586.625413721655,145.8379582417037,0.3444554805755615,0.3134693877551058,796.728515625
100,JAGUAS253_20121114_080107.wav,Hyloxalus,4370.967130335366,4091.30859375,4909.5703125,0.075172,-0.50019,0.091728,-27.654,0.62011,0.37541,-0.13289,-28.513,0.37263,0.00025609,-0.0030668,-28.709,-0.19468,-0.21217,0.12506,-0.49535,-0.08995,0.096006,0.011109,0.11757,-0.55613,-0.54402,0.17637,4552.308113201654,137.6978528921723,0.3196444511413574,0.3134693877550987,818.26171875
102,JAGUAS253_20121114_080107.wav,Hyloxalus,4564.534870426829,4048.2421875,4909.5703125,0.47542,0.26321,0.16148,-26.947,-0.019385,0.30984,0.096081,-28.298,0.19393,0.47772,0.041732,-27.099,-0.17385,0.60468,0.24366,0.35981,-0.21642,0.11382,0.027395,-0.016051,0.063512,0.040165,0.13366,4562.935389412849,151.1282296433675,0.3192424774169922,0.3134693877551058,861.328125
103,JAGUAS253_20121114_080107.wav,Hyloxalus,4349.496951219512,4134.375,4931.103515625,-0.97284,0.53667,0.53402,-27.368,0.2112,-0.57683,0.20148,-26.337,0.73483,0.32639,-0.76136,-26.473,0.87416,0.252,-0.26054,0.59821,0.61567,-0.09489,-0.26485,-0.51797,-0.52235,0.51955,0.41668,4577.015353564104,144.0878238385927,0.3505704402923584,0.3134693877550987,796.728515625
106,JAGUAS253_20121114_080107.wav,Hyloxalus,4198.869569359756,4091.30859375,4888.037109375,0.32155,0.76038,0.71388,-28.339,0.75309,-0.58705,0.58748,-27.701,0.16992,-0.36328,-0.33326,-29.979,0.48006,0.78848,-0.60465,-0.73528,0.052835,0.0093664,-0.43951,-0.8555,-0.060703,1.2496,-0.072494,4569.087338370817,138.6425130070092,0.3298690915107727,0.3018594104308363,796.728515625
107,JAGUAS253_20121114_080107.wav,Hyloxalus,4500.08231707317,4134.375,4866.50390625,-0.95809,0.147,0.060453,-29.517,0.5326,0.34349,-0.65557,-28.718,0.5934,-0.47276,0.26629,-28.257,0.52958,-0.065851,0.59875,0.22814,0.49589,-0.07095,0.17943,0.51833,-0.77725,0.10521,0.52425,4539.457671745358,134.320180649977,0.4078971743583679,0.3018594104308363,732.12890625
108,JAGUAS253_20121114_080107.wav,Hyloxalus,4521.552496189024,4091.30859375,4909.5703125,-0.22225,-0.096147,0.41756,-29.015,0.42862,-0.21415,0.39392,-27.597,0.040768,-0.17498,-0.16858,-28.341,0.1589,0.19922,0.53198,0.19896,0.12705,0.098455,0.038137,-0.33316,-0.26637,0.2461,0.3621,4573.277622635049,139.3320598308154,0.3345603346824646,0.3018594104308363,818.26171875
109,JAGUAS253_20121114_080107.wav,Hyloxalus,4478.54911394817,4112.841796875,4909.5703125,0.64696,-0.22001,-0.20464,-26.888,-0.022452,-0.73373,0.78853,-28.063,0.65966,-0.17637,0.39945,-27.997,-0.28314,0.2138,-0.060746,-0.14797,-0.31003,0.1446,0.047965,-0.30004,-0.1367,0.45194,-0.72668,4593.002918345337,144.593016108119,0.3361167907714844,0.3134693877551058,796.728515625
111,JAGUAS253_20121114_080107.wav,Hyloxalus,4306.47256097561,4134.375,4931.103515625,1.9053,-0.27113,-0.48522,-28.217,0.045541,0.3796,-0.0905,-27.403,-0.11547,0.77587,-0.36512,-26.74,0.22228,-0.54737,-0.021166,1.3577,-0.56101,-0.092078,0.15468,-0.96662,1.0988,-0.98699,-0.02538,4586.982571563647,146.2237152621962,0.3619206845760345,0.3018594104308434,796.728515625
112,JAGUAS253_20121114_080107.wav,Hyloxalus,4220.423780487805,4134.375,4931.103515625,0.72322,0.24973,-0.12259,-28.58,0.9143,-0.11682,0.03961,-27.161,-0.030323,0.93828,0.30718,-26.988,0.17321,0.85275,0.43039,0.090548,-0.18334,0.20101,0.18433,0.74712,0.0062302,0.1405,-0.019493,4582.375607388478,156.5527666762461,0.3660061955451965,0.3134693877551058,796.728515625
